,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
2154,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179424&gubun=K,2023.00,25 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","9,090만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2155,기아 뉴모닝 1.0 밴 ,차량번호 24저6126,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179441&gubun=K,2008.01,"68,889 km",가솔린,999 cc (72마력),검정색,만료,180만원,준비중,,,,,,,,,,,등록,,,,,,,,,
2156,쌍용 티볼리 아머 1.6 가솔린 2WD 기어 에디션,차량번호 55너6468,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179440&gubun=K,2018.01,"57,000 km",가솔린,"1,597 cc (126마력)",파란색,불가,"1,320만원",60,0,0,0,0,0,1,0,1,0,0,등록,,,,,,,,,
2157,현대 그랜드스타렉스 어린이보호차 디젤 12인승 2WD CVX 럭셔리,차량번호 74루1480,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179378&gubun=K,2013.09 (14년형),"50,127 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,200만원",준비중,0,0,1,0,0,1,0,0,0,0,등록,,,,,,,,,
2158,현대 포터2 CRDi 더블캡  장축 하이-SUP 기본형,차량번호 89보1710,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179361&gubun=K,2010.06 (11년형),"85,000 km",디젤,"2,497 cc ()",흰색,정보없음,780만원,준비중,,,,,,,,,,,등록,,,,,,,,,
2159,기아 K5 2.0 LPi 시그니처,차량번호 179부6009,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179313&gubun=K,2020.03,"40,000 km",LPG,"1,999 cc (146마력)",기타색상,정보없음,"3,000만원",98,1,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2160,현대 더 뉴 제네시스 쿠페 3.8 GT R,차량번호 68가9723,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176783&gubun=K,2015.03,"126,000 km",가솔린,"3,778 cc (350마력)",빨간색,만료,"1,800만원",51,1,0,0,0,1,1,0,1,0,1,등록,,,,,,,,,
2161,기아 올 뉴 카렌스 2.0 LPi 7인승 디럭스,차량번호 53부9573,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179263&gubun=K,2013.10 (14년형),"217,000 km",LPG,"1,999 cc (154마력)",흰색,만료,480만원,26,,,,,,,,,,,등록,,,,,,,,,
2162,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,차량번호 93모0177,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179163&gubun=K,2019.09 (20년형),"115,000 km",디젤,"2,497 cc (175마력)",검정색,불가,"1,950만원",78,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2163,현대 더 뉴 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD 모던,차량번호 70로8794,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179200&gubun=K,2016.05 (17년형),"32,000 km",디젤,"2,497 cc (175마력)",은색,정보없음,"3,800만원",137,,,,,,,,,,,등록,,,,,,,,,
2164,현대 제네시스 쿠페 2.0 터보 D,차량번호 47노8319,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159805&gubun=K,2009.09 (10년형),"70,600 km",가솔린,"1,998 cc (210마력)",흰색,불가,590만원,25,1,0,1,0,0,1,0,1,1,0,등록,,,,,,,,,
2165,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173757&gubun=K,2023.00,12 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","8,800만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2166,기아 올 뉴 모닝 1.0  럭셔리,차량번호 19저3314,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179168&gubun=K,2011.03 (12년형),"126,000 km",가솔린,998 cc (82마력),회색,만료,450만원,38,0,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
2167,기아 EV6 롱 레인지 2WD  GT 라인,차량번호 39노6397,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179162&gubun=K,2021.09 (22년형),"15,000 km",전기,0 cc (228마력),검정색,정보없음,"5,300만원",89,1,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2168,기아 스팅어 3.3 터보 AWD GT,차량번호 312라7772,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179138&gubun=K,2018.03,"93,000 km",가솔린,"3,342 cc (370마력)",흰색,불가,"3,400만원",66,1,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2169,현대 i40 살룬  1.7 디젤 PYL   ,차량번호 61조4541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2129675&gubun=K,2015.01,"88,929 km",디젤,"1,685 cc (140마력)",흰색 (화이트 크리스탈),불가,975만원,준비중,0,0,1,0,1,1,0,0,0,0,등록,0,0,0,0,0,2,"2,498,258",3,"3,868,590"
2170,쉐보레 올 뉴 말리부  2.0 터보 LTZ 프리미엄   ,차량번호 58어0483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179016&gubun=K,2016.10 (17년형),"56,275 km",가솔린,"1,998 cc (253마력)",검정색,불가,"1,750만원",52,0,0,0,0,0,0,0,0,0,0,미등록,,,,,,,,,
2171,현대 e-에어로타운  캠핑카 -  ,차량번호 79조5400,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175741&gubun=K,2008.06,"329,000 km",디젤,"5,899 cc (225마력)",기타색상,불가,"3,100만원",준비중,0,0,0,0,0,0,1,1,0,0,미등록,,,,,,,,,
2172,기아 올 뉴 카니발  2.2 디젤 9인승 하이리무진 노블레스   ,차량번호 175조1981,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179079&gubun=K,2017.08 (18년형),"128,470 km",디젤,"2,199 cc (202마력)",검정색,불가,[계약],62,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2173,현대 벨로스터 N  2.0 터보 퍼포먼스팩   ,차량번호 34무7708,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178734&gubun=K,2019.01,"98,000 km",가솔린,"1,998 cc ()",흰색,정보없음,"1,850만원",58,1,1,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2174,현대 제네시스  BH330 그랜드   ,차량번호 49노7212,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179044&gubun=K,2008.03,"151,906 km",디젤,"3,342 cc (262마력)",검정색,불가,550만원,13,1,0,0,1,1,1,0,1,0,0,미등록,,,,,,,,,
2175,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD 스마트   ,차량번호 79가9793,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179021&gubun=K,2016.12 (17년형),"55,475 km",디젤,"2,497 cc (175마력)",노란색,불가,"1,630만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2176,GM대우 뉴 다마스 2인승 판넬밴 디럭스,차량번호 81더3252,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179003&gubun=K,2017.11,"117,363 km",가솔린,796 cc (43마력),흰색,만료,350만원,40,,,,,,,,,,,등록,,,,,,,,,
2177,르노삼성 SM7 뉴 아트 2.3 SE23,차량번호 16무9198,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178982&gubun=K,2011.03,"119,500 km",가솔린,"2,349 cc (170마력)",검정색,불가,400만원,14,1,0,1,0,0,1,0,1,0,1,등록,,,,,,,,,
2178,쉐보레 더 뉴 스파크 1.0 LT,차량번호 54나5713,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178965&gubun=K,2018.06 (19년형),"58,000 km",가솔린,999 cc (75마력),진주색,불가,780만원,60,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2179,기아 더 뉴 K5  1.6 터보 노블레스,차량번호 111루5242,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178961&gubun=K,2018.11 (19년형),"66,666 km",가솔린,"1,591 cc (180마력)",검정색,불가,"1,900만원",71,1,1,1,0,1,1,0,1,0,1,등록,,,,,,,,,
2180,기아 더 뉴 K5  1.6 터보 노블레스,차량번호 111루5242,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178961&gubun=K,2018.11 (19년형),"66,666 km",가솔린,"1,591 cc (180마력)",검정색,불가,"1,900만원",71,1,1,1,0,1,1,0,1,0,1,등록,,,,,,,,,
2181,기아 더 뉴 니로 1.6 HEV  프레스티지,차량번호 163호6544,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178952&gubun=K,2022.04,"1,300 km",가솔린 하이브리드,"1,580 cc (141마력)",진회색,"60개월 / 100,000km",200만원,소유,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2182,현대 더 뉴 코나 1.6 가솔린 터보 4WD 인스퍼레이션,차량번호 161루2605,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178950&gubun=K,2022.08 (23년형),20 km,가솔린,"1,598 cc (198마력)",흰색,"60개월 / 100,000km","3,195만원",110,1,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2183,쉐보레 더 넥스트 스파크 1.0  LT 플러스,차량번호 03수0193,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178948&gubun=K,2016.10,"103,000 km",가솔린,999 cc (75마력),흰색,만료,530만원,51,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2184,제네시스 EQ900 5.0 AWD 프레스티지,차량번호 350루9053,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178589&gubun=K,2017.01,"109,000 km",가솔린,"5,038 cc (425마력)",검정색,불가,"3,450만원",29,1,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2185,현대 싼타페CM 2.0 디젤 2WD CLX 고급형,차량번호 65구7528,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178920&gubun=K,2005.02,"195,000 km",디젤,"1,991 cc (151마력)",흰색,불가,350만원,14,1,0,1,0,0,1,1,1,0,0,등록,,,,,,,,,
2186,현대 그랜드스타렉스 어린이보호차  디젤 12인승 2WD CVX 럭셔리,차량번호 76누5291,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178271&gubun=K,2020.06,"30,000 km",디젤,"2,497 cc (175마력)",노란색,만료,"2,330만원",준비중,0,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2187,기아 더 뉴 스포티지R 2.0 디젤 2WD 트렌디,차량번호 02소3148,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177524&gubun=K,2013.12 (14년형),"200,840 km",디젤,"1,995 cc (184마력)",흰색,불가,750만원,31,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2188,쌍용 더 뉴 코란도 스포츠 2.2 디젤 4WD 익스트림,차량번호 802고1829,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178861&gubun=K,2017.12 (18년형),"2,755,000 km",디젤,"2,157 cc (178마력)",흰색,정보없음,"1,100만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2189,기아 올 뉴 카니발 2.2 디젤 9인승  노블레스,차량번호 65버6619,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177411&gubun=K,2014.07,"109,634 km",디젤,"2,199 cc (202마력)",검정색,만료,"1,599만원",44,1,0,1,1,1,1,1,1,0,1,등록,,,,,,,,,
2190,현대 e마이티 2.5톤 더블캡 장축고상 슈퍼,차량번호 82고5832,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178820&gubun=K,2014.03,0 km,디젤,"3,933 cc (145마력)",검정색,불가,"5,500만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2191,제네시스 GV70  3.5 터보 AWD -   ,차량번호 156호1595,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178761&gubun=K,2021.04,"21,000 km",가솔린,"3,470 cc (380마력)",흰색,"60개월 / 100,000km","6,900만원",120,,,,,,,,,,,미등록,,,,,,,,,
2192,현대 뉴스타렉스  점보 2.5 디젤 CRDi 12인승 2WD GRX 고급형   ,차량번호 70거4270,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178750&gubun=K,2007.06,"161,524 km",디젤,"2,497 cc (145마력)",은색투톤,불가,499만원,26,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
2193,현대 그랜저IG 3.0 LPi  모던,차량번호 256수8012,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178742&gubun=K,2019.08,"122,415 km",LPG,"2,999 cc (235마력)",검정색,"60개월 / 100,000km","1,790만원",61,0,0,1,1,0,0,0,1,0,1,등록,1,0,0,0,0,0,0,0,0
2194,현대 YF쏘나타  2.0 CVVL 럭셔리   ,차량번호 24거6013,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178725&gubun=K,2012.04,"130,000 km",가솔린,"1,999 cc (172마력)",흰색 (화이트 크리스탈),불가,530만원,준비중,0,0,1,1,0,1,0,1,0,1,등록,4,0,0,0,0,3,"2,167,210",2,"1,620,980"
2195,현대 그랜드스타렉스  캠핑카 -   ,차량번호 75조7102,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178714&gubun=K,2018.03,"18,452 km",디젤,"2,497 cc (174마력)",흰색,불가,"4,550만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2196,현대 그랜드스타렉스  2.5 디젤 왜건 11인승 4WD 모던 스페셜  ,차량번호 77어3465,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170744&gubun=K,2017.07 (18년형),"123,450 km",디젤,"2,497 cc (175마력)",은색,불가,"1,820만원",준비중,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2197,제네시스 G90 1세대  3.8 AWD 프리미엄 럭셔리  ,차량번호 302어9536,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175021&gubun=K,2019.03,"107,575 km",가솔린,"3,778 cc (315마력)",검정색,"60개월 / 120,000km","4,400만원",47,1,0,1,1,1,1,1,1,1,1,등록,4,0,0,0,0,2,"5,077,510",1,"272,720"
2198,기아 올 뉴 모닝 1.0 밴  고급형,차량번호 64더6685,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178656&gubun=K,2018.12,"70,611 km",가솔린,998 cc (),흰색,"60개월 / 100,000km",639만원,65,0,0,0,0,0,0,0,1,0,0,등록,,,,,,,,,
2199,현대 i30 PD  1.4 터보 모던   ,차량번호 64소8692,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178533&gubun=K,2017.01,"75,000 km",가솔린,"1,353 cc (140마력)",진회색,불가,"1,470만원",65,0,1,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2200,제네시스 G90 2세대  3.5 터보 AWD 프리미엄 컬렉션   ,차량번호 194서9245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176993&gubun=K,2022.05,600 km,가솔린,"3,470 cc (380마력)",흰색 (다이아몬드 화이트),"60개월 / 120,000km","12,450만원",준비중,0,1,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2201,현대 갤로퍼2  2.5 디젤 밴 2인승 숏바디 이노베이션 터보 엑시드   ,차량번호 87거1991,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178637&gubun=K,2001.09,"192,000 km",디젤,"2,476 cc ()",빨간색,불가,700만원,49,0,0,0,0,0,0,0,1,0,0,미등록,,,,,,,,,
2202,현대 팰리세이드 3.8 가솔린 4WD  캘리그래피,차량번호 398조1018,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178616&gubun=K,2020.06 (21년형),"23,000 km",가솔린,"3,778 cc (295마력)",검정색,"60개월 / 100,000km","5,400만원",111,1,1,1,1,0,0,0,0,0,1,등록,,,,,,,,,
2203,현대 i40 1.7 디젤 왜건 디 스팩,차량번호 12수9439,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178576&gubun=K,2013.11 (14년형),"163,282 km",디젤,"1,685 cc (140마력)",진회색,만료,989만원,준비중,1,1,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,1,"1,145,340",1,"797,320"
2204,르노삼성 뉴 마스터  2.3 디젤 캠핑카   ,차량번호 75다9729,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177184&gubun=K,2021.12 (20년형),"5,300 km",디젤,"2,299 cc (150마력)",흰색투톤,가능,"6,500만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2205,기아 디 올 뉴 니로 EV   에어   ,차량번호 24어7656,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178013&gubun=K,2022.08 (23년형),361 km,전기,180 cc (204마력),흰색,정보없음,"4,190만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,0,0,0,0,0,0,0,0,0
2206,기아 스팅어  3.3 터보 GT   ,차량번호 32노4048,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178031&gubun=K,2017.12 (18년형),"75,430 km",가솔린,"3,342 cc (370마력)",빨간색,"60개월 / 100,000km","2,600만원",53,0,0,1,1,1,1,1,1,1,1,등록,6,0,0,0,0,0,0,1,"3,081,610"
2207,현대 그랜드스타렉스 2.5 디젤 왜건 11인승 2WD  HVX VIP팩,차량번호 77다4790,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178105&gubun=K,2011.12 (12년형),"151,466 km",디젤,"2,497 cc (175마력)",회색,만료,950만원,35,,,,,,,,,,,등록,,,,,,,,,
2208,현대 올 뉴 투싼 2.0 디젤 2WD 프리미엄,차량번호 13노0779,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178546&gubun=K,2016.04 (17년형),"39,475 km",디젤,"1,995 cc (186마력)",흰색,불가,"1,950만원",65,1,1,1,1,1,1,0,1,0,0,등록,,,,,,,,,
2209,기아 그랜드 카니발 R 2.2 디젤 GLX 프리미엄,차량번호 78구3459,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178543&gubun=K,2013.06,"151,000 km",디젤,"2,199 cc (197마력)",검정색,만료,820만원,준비중,1,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2210,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  스마트,차량번호 83주9688,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178489&gubun=K,2014.03 (15년형),"124,273 km",디젤,"2,497 cc (175마력)",은색,정보없음,"1,350만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2211,현대 YF쏘나타 2.0 LPi  럭셔리,차량번호 123버7972,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178487&gubun=K,2011.12 (12년형),"161,000 km",LPG,"1,999 cc (157마력)",흰색,불가,450만원,준비중,0,1,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2212,기아 카니발 4세대  3.5 가솔린 4인승 하이리무진 시그니처   ,차량번호 177노5210,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177798&gubun=K,2022.01,"12,000 km",가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","8,900만원",102,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2213,현대 올 뉴 마이티 3.5톤 덤프,차량번호 844저8773,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178484&gubun=K,2021.11 (22년형),517 km,디젤,"3,933 cc ()",흰색,정보없음,"5,850만원",준비중,0,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2214,현대 그랜저HG  240 모던   ,차량번호 38보1778,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168439&gubun=K,2015.03,"127,500 km",가솔린,"2,359 cc (190마력)",파란색,불가,"1,530만원",51,1,0,0,1,1,1,0,1,0,1,미등록,,,,,,,,,
2215,기아 K5  2.0 터보 노블레스   ,차량번호 320소2415,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170814&gubun=K,2011.10 (12년형),"144,400 km",가솔린,"1,998 cc (271마력)",검정색,불가,880만원,29,0,1,1,0,0,0,0,1,0,0,미등록,,,,,,,,,
2216,현대 e-카운티  캠핑카 -   ,차량번호 76고1689,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178443&gubun=K,2009.10,"92,900 km",디젤,"3,933 cc ()",흰색투톤,불가,"4,599만원",준비중,0,0,0,0,0,1,0,1,0,0,미등록,,,,,,,,,
2217,현대 아반떼AD  1.6 터보 스포츠 DCT   ,차량번호 298우4544,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178327&gubun=K,2018.02,"79,700 km",가솔린,"1,591 cc (204마력)",파란색,"60개월 / 100,000km","1,450만원",67,1,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2218,현대 다이너스티 3.0 SV,차량번호 42버5957,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178418&gubun=K,2003.07,"81,000 km",가솔린,"2,972 cc (185마력)",검정투톤,불가,400만원,11,0,0,1,1,0,1,0,0,0,0,등록,,,,,,,,,
2219,현대 포터2  내장탑차 -   ,차량번호 94오0691,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2139921&gubun=K,2013.01,"151,000 km",디젤,"2,497 cc ()",흰색,불가,890만원,준비중,0,0,0,0,0,0,0,1,0,0,미등록,,,,,,,,,
2220,르노삼성 뉴 SM5  2.0  PE,차량번호 64거9957,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178126&gubun=K,2011.01,"191,000 km",가솔린,"1,998 cc (141마력)",검정색,"144개월 / 240,000km",250만원,11,0,0,0,0,1,1,0,1,0,0,등록,,,,,,,,,
2221,기아 카니발 4세대  3.5 가솔린 4인승 하이리무진 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178257&gubun=K,2023.00,9 km,가솔린,"3,470 cc (294마력)",흰색,"60개월 / 100,000km","9,089만원",104,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2222,르노삼성 뉴SM5 플래티넘  2.0 LPLi  고급형   ,차량번호 64루0718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178286&gubun=K,2013.07,"205,291 km",LPG,"1,998 cc ()",은색,불가,430만원,준비중,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
2223,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178033&gubun=K,2023.00,13 km,가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km","8,700만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2224,기아 더 뉴 카니발 2.2 디젤 9인승  프레스티지,차량번호 41가7903,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178226&gubun=K,2019.01,"13,943 km",디젤,"2,199 cc (202마력)",노란색,"60개월 / 100,000km","2,700만원",77,1,0,1,1,1,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
2225,제네시스 EQ900  3.8 AWD 럭셔리  ,차량번호 110고7173,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2170486&gubun=K,2016.03,"139,000 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,280만원",30,1,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2226,기아 더 뉴 레이 1.0 프레스티지,차량번호 348보6079,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178197&gubun=K,2020.11 (21년형),"35,000 km",가솔린,998 cc (78마력),흰색,"60개월 / 100,000km","1,370만원",87,0,0,1,0,0,1,1,1,0,1,등록,,,,,,,,,
2227,현대 기타 - -   ,차량번호 99다1777,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168636&gubun=K,2011.12,"115,261 km",디젤,"5,899 cc ()",빨간색,불가,"3,500만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2228,현대 그랜저HG 300 LPi  모던,차량번호 43어9376,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177834&gubun=K,2013.08 (14년형),"165,000 km",LPG,"2,999 cc (235마력)",검정색,만료,880만원,준비중,0,0,1,1,1,1,0,1,0,0,등록,,,,,,,,,
2229,기아 올 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스,차량번호 30구1096,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178127&gubun=K,2016.09 (17년형),"135,000 km",가솔린,"3,342 cc (280마력)",흰색,불가,"2,650만원",49,0,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
